,CIT_Modo,CIT_Proposito,Personas,TiempoPromedioPorPersona,ViajesPromedioPorPersona,PersonasProporcion,PersonasProporcionOld,beta,peak,r2
0,Motorizado,Hacer,2861,22205.552920224363,1.3233135267389025,0.5473502965372107,0.7038130381303813,-7.165292285053923e-05,15000.0,0.46721592206024753
1,Motorizado,Libre,676,29054.610453648915,1.0887573964497042,0.1293284867036541,0.7093389296956978,-5.111152650164127e-05,10000.0,0.552347216015888
2,Pie,Hacer,1204,11.625,1.2491694352159468,0.23034245264970346,0.2961869618696187,-0.09508761419712104,5.0,0.18331910019783568
3,Pie,Libre,277,12.737665463297233,1.144404332129964,0.05299406925578726,0.2906610703043022,-0.08423355690696138,5.0,0.3009541661958828
