,CIT_Modo,CIT_Proposito,Personas,TiempoPromedioPorPersona,ViajesPromedioPorPersona,PersonasProporcion,PersonasProporcionOld,beta,peak,r2
0,Motorizado,Hacer,5109,34975.684375034594,1.2094343315717362,0.7014966360016477,0.8006582040432534,-0.0001327287642599171,35000.0,0.6026606026570428
1,Motorizado,Libre,198,31285.353546792783,1.0454545454545454,0.02718659892901277,0.673469387755102,-4.889608416467883e-05,15000.0,0.6924424708522849
2,Pie,Hacer,1272,16.330647289331228,1.145440251572327,0.1746533022106275,0.1993417959567466,-0.19531136954906236,15.0,0.19377072582496604
3,Pie,Libre,96,17.4791666760575,1.0416666666666667,0.013181381298915282,0.32653061224489793,-0.18734663928038173,15.0,0.3457552989900936
